name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Insecure,Jazmine Sullivan,2017-08-04,"['neo soul', 'r&b', 'urban contemporary']",soul,218072,62,Soul,31,277,167,144,3.8303249097472922,2,1,0.092,0.741,0.167,0.9373
Ugotme,Omar Apollo,2018-05-30,"['bedroom pop', 'bedroom soul']",pop,127272,63,Soul,21,103,63,53,4.038834951456311,2,2,0.047,0.73,0.222,0.9771
Take It Easy,Surfaces,2020-02-28,['bedroom soul'],soul,212849,62,Soul,54,274,122,109,4.043795620437956,1,4,0.065,0.695,0.241,0.9939
Casio,Jungle,2018-09-14,"['indie soul', 'indietronica', 'uk contemporary r&b']",indie,234369,70,Soul,25,158,75,80,3.981012658227848,3,2,0.024,0.806,0.171,0.9609
Whatcha See Is Whatcha Get,The Dramatics,2007-01-01,"['classic soul', 'disco', 'funk', 'memphis soul', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']",soul,214973,61,Soul,45,219,106,97,3.776255707762557,2,1,0.079,0.788,0.133,0.9401
Girl Like Me (feat. H.E.R.),Jazmine Sullivan,2021-01-08,"['neo soul', 'r&b', 'urban contemporary']",soul,224880,63,Soul,128,585,213,261,3.858119658119658,2,2,0.112,0.743,0.145,0.9264
Me & Mr Jones,Amy Winehouse,2006,"['british soul', 'neo soul']",soul,153173,68,Soul,34,215,126,112,4.088372093023255,1,2,0.048,0.857,0.096,0.93
Fool For You,Snoh Aalegra,2017-10-20,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",r&b,194303,65,Soul,24,166,90,101,3.746987951807229,2,1,0.114,0.784,0.102,0.4215
Don't You Remember,Adele,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,243200,66,Soul,39,216,106,128,4.106481481481482,2,2,0.083,0.761,0.156,0.9716
Easier Said Than Done,Thee Sacred Souls,2022-08-26,"['latinx alternative', 'souldies']",alternative,174706,64,Soul,49,192,64,75,3.9895833333333335,2,1,0.05,0.424,0.526,0.9991
