name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Cruel Summer,Taylor Swift,2019-08-23,['pop'],pop,178426,95,Pop,36,182,105,83,3.8736263736263736,2,1,0.122,0.716,0.162,-0.3676
Boy's a Liar Pt. 2,PinkPantheress,2023-02-03,['bedroom pop'],pop,131013,95,Pop,23,170,103,82,4.135294117647059,2,1,0.136,0.778,0.086,-0.9074
Getaway Car,Taylor Swift,2017-11-10,['pop'],pop,233626,87,Pop,26,181,107,95,4.038674033149171,1,1,0.144,0.82,0.036,-0.9536
Take Two,BTS,2023-06-09,"['k-pop', 'k-pop boy group', 'pop']",pop,229953,95,Pop,34,123,98,31,3.3089430894308944,1,1,0.015,0.936,0.049,0.5661
As It Was,Harry Styles,2022-05-20,['pop'],pop,167303,93,Pop,27,150,95,92,3.9133333333333336,2,1,0.026,0.886,0.087,0.8266
Moonlight,Kali Uchis,2023-03-03,['colombian pop'],pop,187723,88,Pop,28,208,80,76,3.9326923076923075,1,2,0.028,0.764,0.208,0.9903
Escapism.,RAYE,2023-02-03,"['uk contemporary r&b', 'uk pop']",r&b,272373,92,Pop,24,193,123,102,3.9274611398963732,1,0,0.17,0.777,0.053,-0.9729
Sun to Me,Zach Bryan,2022-05-20,"['classic oklahoma country', 'modern country pop']",country,163031,83,Pop,26,224,139,119,4.116071428571429,4,1,0.077,0.768,0.155,0.9725
Heartless (feat. Morgan Wallen),Diplo,2020-05-29,"['edm', 'electro house', 'moombahton', 'pop dance']",pop,169226,83,Pop,67,398,141,215,4.4798994974874375,1,2,0.277,0.666,0.057,-0.9988
august,Taylor Swift,2020-07-24,['pop'],pop,261922,88,Pop,24,138,69,63,4.144927536231884,2,2,0.043,0.907,0.05,0.2406
Never Felt So Alone,Labrinth,2023-04-07,"['indie poptimism', 'pop']",indie,160166,87,Pop,53,194,83,52,4.06701030927835,1,2,0.229,0.737,0.034,-0.9852
The Man,Taylor Swift,2019-08-23,['pop'],pop,190360,87,Pop,24,180,113,107,3.8,2,1,0.062,0.811,0.127,0.7927
The Hills,The Weeknd,2015-08-28,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,242253,89,Pop,24,161,85,91,3.981366459627329,1,1,0.132,0.717,0.151,-0.3182
Party In The U.S.A.,Miley Cyrus,2009-01-01,['pop'],pop,202066,80,Pop,25,154,98,79,3.9415584415584415,1,1,0.054,0.77,0.177,0.9522
good 4 u,Olivia Rodrigo,2021-05-21,['pop'],pop,178146,88,Pop,30,229,129,123,3.938864628820961,2,1,0.052,0.734,0.214,0.9882
Attention,Doja Cat,2023-06-16,"['dance pop', 'pop']",pop,277043,85,Pop,73,609,259,309,4.192118226600985,2,3,0.129,0.696,0.175,0.9772
Call Out My Name,The Weeknd,2018-03-30,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,228373,89,Pop,28,190,104,102,3.5736842105263156,2,1,0.079,0.738,0.183,0.9702
I Was Never There,The Weeknd,2018-03-30,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,241066,90,Pop,38,196,66,90,4.081632653061225,1,1,0.158,0.757,0.085,-0.5417
Midnight Rain,Taylor Swift,2022-10-21,['pop'],pop,174782,87,Pop,31,169,95,81,4.2485207100591715,2,1,0.051,0.659,0.29,0.9945
Fair Trade (with Travis Scott),Drake,2021-09-03,"['canadian hip-hop', 'canadian pop', 'hip-hop', 'rap', 'toronto rap']",hip-hop,291175,87,Pop,149,1001,435,469,4.066933066933067,2,2,0.102,0.72,0.178,0.9978
Dandelions,Ruth B.,2017-05-05,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",pop,233720,92,Pop,22,164,86,88,3.9695121951219514,2,1,0.037,0.68,0.283,0.9953
Look What You Made Me Do,Taylor Swift,2017-11-10,['pop'],pop,211853,86,Pop,23,155,72,92,3.567741935483871,1,1,0.164,0.787,0.049,-0.9117
SLOW DANCING IN THE DARK,Joji,2018-10-26,['viral pop'],pop,209273,85,Pop,35,164,103,84,3.7865853658536586,2,1,0.045,0.835,0.12,0.9399
Stargirl Interlude,The Weeknd,2016-11-24,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,111626,86,Pop,15,129,52,70,3.89922480620155,1,0,0.171,0.677,0.151,-0.864
Shivers,Ed Sheeran,2021-10-29,"['pop', 'uk pop']",pop,207853,89,Pop,48,373,122,181,3.9571045576407506,2,2,0.021,0.789,0.19,0.9962
Someone You Loved,Lewis Capaldi,2019-05-17,"['pop', 'uk pop']",pop,182160,90,Pop,24,206,88,117,3.8640776699029127,2,2,0.103,0.765,0.132,0.8295
One Dance,Drake,2016-05-06,"['canadian hip-hop', 'canadian pop', 'hip-hop', 'rap', 'toronto rap']",hip-hop,173986,89,Pop,22,118,67,46,3.7033898305084745,1,1,0.064,0.751,0.185,0.9401
Yellow,Coldplay,2000-07-10,"['permanent wave', 'pop']",pop,266773,93,Pop,43,198,88,91,3.6363636363636362,2,2,0.0,0.836,0.164,0.9843
S-Class,Stray Kids,2023-06-02,"['k-pop', 'k-pop boy group', 'pop']",pop,195688,88,Pop,44,160,116,31,3.40625,1,1,0.0,0.872,0.128,0.964
Promiscuous,Nelly Furtado,2006-01-01,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",pop,242293,86,Pop,40,242,149,125,3.909090909090909,1,1,0.096,0.751,0.153,0.9364
Tennessee Orange,Megan Moroney,2023-05-05,['modern country pop'],country,223119,80,Pop,27,190,101,93,4.026315789473684,2,2,0.058,0.829,0.114,0.8157
YKWIM?,Yot Club,2019-05-31,['bedroom pop'],pop,212750,84,Pop,21,109,51,56,3.5596330275229358,3,0,0.23,0.635,0.135,-0.7202
That's What I Like,Bruno Mars,2016-11-17,"['dance pop', 'pop']",pop,206693,87,Pop,32,207,109,112,3.8840579710144927,1,1,0.063,0.732,0.205,0.9783
Baby Don't Hurt Me,David Guetta,2023-04-06,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",pop,140017,93,Pop,25,120,77,59,4.1,1,1,0.057,0.621,0.322,0.9891
Bejeweled,Taylor Swift,2022-10-21,['pop'],pop,194165,85,Pop,27,185,125,93,3.983783783783784,2,1,0.032,0.845,0.123,0.9066
Dancin’ In The Country,Tyler Hubbard,2023-01-27,"['contemporary country', 'modern country pop']",country,179640,80,Pop,29,169,112,81,4.005917159763314,2,1,0.073,0.819,0.107,0.6546
Dawns (feat. Maggie Rogers),Zach Bryan,2023-01-27,"['classic oklahoma country', 'modern country pop']",country,290892,81,Pop,95,448,165,200,3.7924107142857144,3,0,0.147,0.829,0.024,-0.9941
Save Your Tears,The Weeknd,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,215626,90,Pop,22,120,74,59,3.9166666666666665,2,0,0.15,0.714,0.136,-0.4159
Our Song,Taylor Swift,2006-10-24,['pop'],pop,201106,78,Pop,28,180,128,94,3.9444444444444446,2,1,0.043,0.9,0.057,0.3544
We Found Love,Rihanna,2011-11-18,"['barbadian pop', 'pop', 'urban contemporary']",pop,215226,86,Pop,23,145,93,65,4.324137931034483,1,1,0.161,0.623,0.216,0.8776
Needed Me,Rihanna,2016-01-28,"['barbadian pop', 'pop', 'urban contemporary']",pop,191600,84,Pop,25,154,98,80,3.8376623376623376,1,1,0.215,0.729,0.056,-0.9836
Heartless,The Weeknd,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,198266,87,Pop,43,236,143,95,4.343220338983051,2,1,0.202,0.709,0.09,-0.9896
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,"['colombian pop', 'dance pop', 'latin pop', 'pop']",pop,218093,88,Pop,167,768,276,252,4.013020833333333,3,2,0.095,0.788,0.117,0.9783
Classic,MKTO,2012,"['pop', 'post-teen pop']",pop,175426,84,Pop,33,156,103,57,4.012820512820513,1,1,0.045,0.674,0.281,0.989
Satellite,Harry Styles,2022-05-20,['pop'],pop,218577,88,Pop,21,112,66,60,3.9107142857142856,2,1,0.078,0.902,0.02,-0.7476
Set Fire to the Rain,Adele,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,242973,84,Pop,23,127,89,66,3.8976377952755907,1,1,0.112,0.726,0.162,0.7446
Wake Me Up,Avicii,2013-01-01,"['edm', 'pop', 'pop dance']",pop,247426,89,Pop,28,177,100,104,3.774011299435028,2,1,0.018,0.76,0.221,0.9894
Ghost,Justin Bieber,2021-03-19,"['canadian pop', 'pop']",pop,153190,89,Pop,24,182,75,107,4.043956043956044,2,2,0.089,0.811,0.1,0.8402
Love On The Brain,Rihanna,2016-01-28,"['barbadian pop', 'pop', 'urban contemporary']",pop,224000,87,Pop,40,198,107,95,3.580808080808081,1,1,0.102,0.597,0.3,0.9941
Jealous,Eyedress,2019-12-06,['noise pop'],pop,122338,85,Pop,23,105,61,67,4.133333333333334,1,1,0.098,0.83,0.072,-0.5848
You Need To Calm Down,Taylor Swift,2019-08-23,['pop'],pop,171360,84,Pop,24,183,108,97,4.180327868852459,2,1,0.062,0.732,0.206,0.9849
Angels Like You,Miley Cyrus,2020-11-27,['pop'],pop,196453,94,Pop,29,160,112,76,4.20625,2,1,0.069,0.732,0.2,0.9758
Yeah! (feat. Lil Jon & Ludacris),Usher,2004-03-23,"['atl hip-hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip-hop', 'urban contemporary']",hip-hop,250373,85,Pop,196,805,275,300,3.562732919254658,3,0,0.043,0.664,0.293,0.9995
"Hey, Soul Sister",Train,2010-12-01,"['dance pop', 'neo mellow', 'pop', 'pop rock']",pop,216773,86,Pop,24,100,70,42,4.34,1,1,0.032,0.834,0.134,0.8529
Young Dumb & Broke,Khalid,2017-04-27,"['pop', 'pop r&b']",pop,202546,83,Pop,65,279,92,98,4.752688172043011,2,2,0.429,0.435,0.136,-0.9993
You Belong With Me (Taylor’s Version),Taylor Swift,2021-04-09,['pop'],pop,231124,87,Pop,26,200,132,114,4.185,2,1,0.045,0.839,0.116,0.9301
Red Ruby Da Sleeze,Nicki Minaj,2023-03-03,"['hip pop', 'pop', 'queens hip-hop', 'rap']",pop,214445,82,Pop,46,227,154,81,3.920704845814978,1,1,0.185,0.773,0.043,-0.9861
Made You Look,Meghan Trainor,2022-10-21,"['hip pop', 'pop']",pop,134256,89,Pop,27,199,103,97,3.8542713567839195,1,2,0.044,0.91,0.047,0.1531
"Sugar, We're Goin Down",Fall Out Boy,2005-05-03,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",rock,229093,81,Pop,30,212,97,128,3.9764150943396226,2,1,0.051,0.878,0.071,0.2946
Heather,Conan Gray,2020-03-20,"['bedroom pop', 'pop', 'pov: indie']",pop,198040,89,Pop,25,149,96,83,4.194630872483222,2,1,0.151,0.669,0.18,0.3227
Woman,Doja Cat,2021-06-25,"['dance pop', 'pop']",pop,172626,88,Pop,35,131,71,49,4.022900763358779,1,1,0.03,0.839,0.131,0.9163
"You're On Your Own, Kid",Taylor Swift,2022-10-21,['pop'],pop,194206,85,Pop,27,151,112,74,4.099337748344371,2,1,0.014,0.748,0.238,0.987
Poker Face,Lady Gaga,2008-01-01,"['art pop', 'dance pop', 'pop']",pop,237200,80,Pop,26,138,76,46,4.050724637681159,1,1,0.0,0.849,0.151,0.9616
Reminder,The Weeknd,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,218880,90,Pop,31,197,127,86,3.700507614213198,1,1,0.115,0.784,0.1,-0.2827
Shirt,SZA,2022-12-09,"['pop', 'r&b', 'rap']",pop,181840,83,Pop,24,108,77,51,4.212962962962963,1,1,0.276,0.629,0.095,-0.9738
Cry,Cigarettes After Sex,2019-10-25,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",pop,256800,80,Pop,23,123,59,63,4.016260162601626,2,3,0.216,0.656,0.128,-0.8524
deja vu,Olivia Rodrigo,2021-05-21,['pop'],pop,215506,88,Pop,28,184,128,93,4.141304347826087,2,1,0.034,0.812,0.153,0.9752
Melting,Kali Uchis,2015-02-04,['colombian pop'],pop,208853,85,Pop,30,166,111,80,4.144578313253012,2,1,0.05,0.738,0.212,0.9693
Show Me How,Men I Trust,2018-02-28,['indie pop'],indie,215110,83,Pop,25,116,58,77,4.060344827586207,2,2,0.0,0.739,0.261,0.9878
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,"['dance pop', 'pop']",pop,182906,83,Pop,71,501,190,211,3.9760479041916166,0,0,0.137,0.817,0.046,-0.9949
Pain,PinkPantheress,2021-10-15,['bedroom pop'],pop,98544,82,Pop,26,136,82,66,4.705882352941177,2,0,0.055,0.932,0.013,-0.6956
Broken Clocks,SZA,2017-06-09,"['pop', 'r&b', 'rap']",pop,231253,82,Pop,32,165,100,60,4.193939393939394,1,1,0.05,0.714,0.236,0.9891
Sunsetz,Cigarettes After Sex,2017-06-09,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",pop,214680,80,Pop,24,141,79,66,4.134751773049645,2,2,0.051,0.851,0.097,0.7783
Double Fantasy (with Future),The Weeknd,2023-04-21,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,268235,87,Pop,65,480,209,236,4.2875,1,3,0.184,0.728,0.088,-0.9951
TRUCK BED,HARDY,2023-01-20,"['contemporary country', 'modern country pop']",country,167534,79,Pop,22,178,80,88,3.8202247191011236,1,2,0.11,0.859,0.031,-0.9181
Adore You,Harry Styles,2019-12-13,['pop'],pop,207133,88,Pop,22,116,73,54,4.637931034482759,2,1,0.056,0.793,0.151,0.9345
Perfect,Ed Sheeran,2017-03-03,"['pop', 'uk pop']",pop,263400,91,Pop,22,167,113,89,4.07185628742515,2,1,0.017,0.716,0.267,0.9933
Levitating (feat. DaBaby),Dua Lipa,2020-03-27,"['dance pop', 'pop', 'uk pop']",pop,203064,87,Pop,26,161,102,77,4.186335403726708,1,1,0.0,0.851,0.149,0.9551
Rolling in the Deep,Adele,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,228093,83,Pop,30,213,122,111,3.8826291079812205,2,1,0.082,0.818,0.1,0.5962
red (feat. Morgan Wallen),HARDY,2023-01-20,"['contemporary country', 'modern country pop']",country,205767,78,Pop,66,424,168,185,4.3325471698113205,2,3,0.065,0.837,0.098,0.9551
Wildest Dreams,Taylor Swift,2014-10-27,['pop'],pop,220440,77,Pop,26,144,103,73,3.9375,2,1,0.092,0.727,0.181,0.9359
Say You Won't Let Go,James Arthur,2016-10-28,"['pop', 'talent show', 'uk pop']",pop,211466,89,Pop,25,178,114,96,3.8258426966292136,2,1,0.036,0.854,0.11,0.9041
Glimpse of Us,Joji,2022-06-10,['viral pop'],pop,233456,87,Pop,28,172,117,100,3.7732558139534884,2,1,0.026,0.86,0.114,0.9471
Still into You,Paramore,2013-04-05,"['candy pop', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",pop,216013,82,Pop,53,335,125,205,3.9582089552238804,2,3,0.053,0.857,0.09,0.8485
Gorgeous,Taylor Swift,2017-11-10,['pop'],pop,209680,85,Pop,31,191,122,106,4.183246073298429,2,1,0.105,0.703,0.192,0.97
Let The Light In (feat. Father John Misty),Lana Del Rey,2023-03-24,"['art pop', 'pop']",pop,278126,81,Pop,25,182,121,76,3.857142857142857,2,1,0.033,0.917,0.05,0.4728
Good Days,SZA,2020-12-25,"['pop', 'r&b', 'rap']",pop,279204,82,Pop,31,180,120,82,3.7333333333333334,1,1,0.104,0.771,0.125,0.4717
Party Monster,The Weeknd,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,249213,85,Pop,27,230,81,114,3.760869565217391,1,1,0.015,0.819,0.166,0.986
Bad Romance,Lady Gaga,2009-11-05,"['art pop', 'dance pop', 'pop']",pop,294573,85,Pop,120,577,116,208,4.776429809358752,2,4,0.244,0.403,0.353,0.9961
Wait a Minute!,WILLOW,2015-01-11,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",pop,196520,83,Pop,36,214,109,105,3.9626168224299065,2,1,0.096,0.791,0.113,0.7182
Best I Ever Had,Drake,2009,"['canadian hip-hop', 'canadian pop', 'hip-hop', 'rap', 'toronto rap']",hip-hop,257690,80,Pop,41,338,176,185,3.8136094674556213,1,1,0.019,0.81,0.171,0.995
Sweater Weather,The Neighbourhood,2013-04-19,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",rock,240400,92,Rock,36,210,145,108,3.9714285714285715,2,1,0.047,0.798,0.155,0.9819
I Ain't Worried,OneRepublic,2022-05-13,"['piano rock', 'pop']",rock,148485,94,Rock,23,153,96,74,4.222222222222222,2,1,0.192,0.633,0.175,-0.4821
505,Arctic Monkeys,2007-04-24,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,253586,83,Rock,21,142,87,74,4.436619718309859,2,2,0.122,0.765,0.113,-0.0839
Mr. Brightside,The Killers,2004,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",rock,222973,88,Rock,36,234,113,139,3.91025641025641,2,1,0.102,0.765,0.132,0.658
I Wanna Be Yours,Arctic Monkeys,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,183956,95,Rock,28,135,75,71,3.948148148148148,2,1,0.013,0.931,0.056,0.6705
Heat Waves,Glass Animals,2020-08-07,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",pop,238805,93,Rock,29,161,96,77,4.391304347826087,1,1,0.029,0.879,0.091,0.8831
The Less I Know The Better,Tame Impala,2015-07-17,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",rock,216320,88,Rock,27,138,94,63,4.2898550724637685,2,1,0.044,0.763,0.193,0.9732
Riptide,Vance Joy,2014-09-09,"['folk-pop', 'modern rock']",rock,204280,83,Rock,21,126,90,58,4.476190476190476,2,1,0.065,0.802,0.133,0.8519
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,2023-06-02,"['alternative pop rock', 'pov: indie']",alternative,186066,87,Rock,75,506,154,252,4.033596837944664,2,2,0.021,0.819,0.16,0.9976
Cigarette Daydreams,Cage The Elephant,2013-10-08,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",rock,208760,81,Rock,25,130,101,64,4.276923076923077,2,1,0.045,0.839,0.116,0.8662
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,161123,90,Rock,29,179,97,100,4.41340782122905,2,2,0.079,0.893,0.028,-0.89
Seven Nation Army,The White Stripes,2003-04-01,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",rock,232106,87,Rock,20,133,88,63,4.338345864661654,2,0,0.072,0.918,0.01,-0.6235
The Middle,Jimmy Eat World,2001-07-17,"['alternative metal', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",pop,165853,84,Rock,30,165,83,89,4.666666666666667,2,2,0.006,0.802,0.192,0.9823
Chicken Fried,Zac Brown Band,2008-11-17,"['contemporary country', 'country', 'country road', 'modern country rock']",country,238146,83,Rock,27,184,113,92,3.880434782608696,2,1,0.014,0.776,0.211,0.9913
Space Song,Beach House,2015-08-28,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",pop,320466,83,Rock,23,90,69,42,4.011111111111111,2,1,0.087,0.886,0.027,-0.6868
Tongue Tied,GROUPLOVE,2011-09-02,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",indie,218013,82,Rock,21,92,40,39,4.282608695652174,2,2,0.0,0.632,0.368,0.9921
Do I Wanna Know?,Arctic Monkeys,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,272394,90,Rock,26,166,125,85,4.240963855421687,1,1,0.038,0.933,0.029,-0.3527
She Had Me At Heads Carolina,Cole Swindell,2022-04-08,"['contemporary country', 'country', 'country road', 'modern country rock']",country,206106,82,Rock,26,200,133,104,3.82,2,1,0.0,0.894,0.106,0.9482
Feel Good Inc.,Gorillaz,2005-05-23,"['alternative hip-hop', 'modern rock', 'rock']",rock,222640,86,Rock,34,181,104,59,5.110497237569061,1,1,0.053,0.701,0.246,0.9915
Island In The Sun,Weezer,2001-05-15,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",rock,200306,82,Rock,23,92,65,45,3.641304347826087,2,1,0.0,0.89,0.11,0.8502
Daddy Issues,The Neighbourhood,2015-10-30,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",rock,260173,87,Rock,25,145,89,80,3.786206896551724,2,1,0.085,0.869,0.046,-0.7615
Borderline,Tame Impala,2020-02-14,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",rock,237800,85,Rock,39,189,115,98,4.132275132275132,2,2,0.067,0.76,0.173,0.9708
Believer,Imagine Dragons,2017-06-23,"['modern rock', 'pop', 'rock']",rock,204346,91,Rock,30,176,99,89,4.096590909090909,2,1,0.146,0.814,0.041,-0.9621
Everybody Talks,Neon Trees,2012-01-01,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",rock,177280,82,Rock,25,119,86,54,4.38655462184874,2,1,0.065,0.858,0.077,0.3527
Memory Lane,Old Dominion,2023-01-05,"['contemporary country', 'country', 'country road', 'modern country rock']",country,172480,81,Rock,25,199,110,97,4.105527638190955,2,2,0.051,0.789,0.161,0.9744
Dog Days Are Over,Florence + The Machine,2009,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",pop,251840,81,Rock,51,298,116,151,4.151006711409396,1,2,0.055,0.812,0.133,0.9845
Pumped Up Kicks,Foster The People,2011-05-23,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",rock,239600,86,Rock,27,201,107,94,4.129353233830845,2,1,0.059,0.719,0.221,0.9899
Shut Up and Dance,WALK THE MOON,2014-12-02,"['dance rock', 'modern rock', 'pop']",rock,199080,86,Rock,24,129,65,65,4.162790697674419,1,2,0.041,0.959,0.0,-0.6486
Chop Suey!,System Of A Down,2001-09-04,"['alternative metal', 'nu metal', 'rap metal', 'rock']",metal,210240,87,Rock,27,196,66,81,4.163265306122449,2,1,0.153,0.826,0.021,-0.9614
You Get Me So High,The Neighbourhood,2018-11-02,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",rock,153000,85,Rock,26,165,98,93,3.5636363636363635,2,1,0.042,0.841,0.117,0.8801
Thunder,Imagine Dragons,2017-06-23,"['modern rock', 'pop', 'rock']",rock,187146,89,Rock,35,163,97,64,4.993865030674846,2,1,0.066,0.854,0.08,0.509
Electric Love,BØRNS,2015-10-16,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pov: indie']",indie,218106,83,Rock,27,147,72,60,4.340136054421769,2,2,0.045,0.731,0.224,0.9855
Misery Business,Paramore,2007-06-11,"['candy pop', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",pop,211520,79,Rock,31,249,152,139,3.891566265060241,2,1,0.06,0.711,0.229,0.9907
Peaches,Jack Black,2023-04-07,"['comedy rock', 'comic']",rock,95440,85,Rock,24,112,58,36,5.044642857142857,2,2,0.0,0.789,0.211,0.9814
Demons,Imagine Dragons,2012-09-04,"['modern rock', 'pop', 'rock']",rock,175200,78,Rock,25,199,104,112,4.050251256281407,2,1,0.17,0.786,0.044,-0.9796
Softcore,The Neighbourhood,2018-11-02,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",rock,206280,87,Rock,22,134,98,72,3.7686567164179103,2,1,0.06,0.875,0.065,0.3987
Ain't No Rest for the Wicked,Cage The Elephant,2009-03-24,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",rock,175493,78,Rock,27,254,165,137,3.6850393700787403,2,1,0.041,0.86,0.098,0.845
Out of My League,Fitz and The Tantrums,2013-05-07,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",rock,209386,77,Rock,23,104,58,58,4.673076923076923,1,1,0.035,0.761,0.205,0.9428
Sex on Fire,Kings of Leon,2008-09-23,"['modern rock', 'rock']",rock,203346,85,Rock,26,77,59,36,4.662337662337662,2,2,0.059,0.87,0.071,0.2444
Take Me to Church,Hozier,2014-09-19,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",rock,241693,80,Rock,32,188,119,89,4.297872340425532,1,1,0.166,0.629,0.205,0.7357
Teenagers,My Chemical Romance,2006-10-23,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",rock,161920,83,Rock,24,201,113,103,4.218905472636816,2,2,0.238,0.72,0.043,-0.9914
Kryptonite,3 Doors Down,2000,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",metal,233933,83,Rock,22,184,110,105,3.755434782608696,3,1,0.096,0.769,0.135,0.7736
"New Person, Same Old Mistakes",Tame Impala,2015-07-17,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",rock,363240,83,Rock,30,162,97,89,4.006172839506172,1,1,0.163,0.727,0.11,-0.8663
Alien Blues,Vundabar,2015-07-24,"['boston indie', 'indie garage rock', 'pov: indie']",indie,155933,84,Rock,27,134,94,59,4.597014925373134,2,1,0.118,0.686,0.197,0.879
Stressed Out,Twenty One Pilots,2015-05-15,"['modern rock', 'pop', 'pov: indie', 'rock']",rock,202333,88,Rock,25,241,129,119,3.9419087136929463,2,1,0.064,0.768,0.168,0.9779
Your Heart Or Mine,Jon Pardi,2022-09-02,"['contemporary country', 'country', 'country road', 'modern country rock']",country,161200,79,Rock,27,158,106,76,3.8860759493670884,2,1,0.155,0.814,0.03,-0.965
Night Shift,Jon Pardi,2016-05-13,"['contemporary country', 'country', 'country road', 'modern country rock']",country,172253,80,Rock,26,152,88,77,3.888157894736842,2,2,0.076,0.688,0.236,0.9869
Somewhere Only We Know,Keane,2004-01-01,"['neo mellow', 'piano rock', 'pop rock']",rock,236160,79,Rock,27,178,90,95,3.966292134831461,2,1,0.061,0.884,0.055,0.4137
Ophelia,The Lumineers,2016-04-08,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",rock,160097,79,Rock,23,113,72,51,4.061946902654867,3,1,0.024,0.739,0.238,0.9732
Can't Stop,Red Hot Chili Peppers,2002-07-09,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",rock,269000,85,Rock,27,182,122,79,4.087912087912088,3,1,0.029,0.733,0.238,0.9924
Electric Feel,MGMT,2007-12-14,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",rock,229640,80,Rock,27,139,83,69,3.985611510791367,2,1,0.052,0.86,0.087,0.6351
One Man Band,Old Dominion,2019-10-25,"['contemporary country', 'country', 'country road', 'modern country rock']",country,186240,79,Rock,26,147,103,71,3.8503401360544216,2,1,0.074,0.851,0.076,0.3182
Thnks fr th Mmrs,Fall Out Boy,2007-01-01,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",rock,203506,82,Rock,31,176,118,74,4.244318181818182,2,1,0.076,0.727,0.197,0.9731
In the End,Linkin Park,2000-10-24,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",metal,216880,89,Rock,31,176,111,84,3.8011363636363638,1,1,0.064,0.912,0.024,-0.3705
Heartache On The Dance Floor,Jon Pardi,2016-05-13,"['contemporary country', 'country', 'country road', 'modern country rock']",country,205200,78,Rock,29,156,104,78,4.006410256410256,2,1,0.04,0.887,0.073,0.4696
